"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000028137.20",215.761388788514,-24.8968954662477,4.78506666213138,-5.20304046405031,1.96054160001958e-07,3.69138517801218e-05
"ENSG00000233954.7",136.435407212181,-3.78650760765771,0.993850457570985,-3.8099369767481,0.000139002221008784,0.00762562184390274
"ENSG00000117318.10",1384.77843134906,-5.8018143663911,1.2750463222792,-4.55027732327409,5.35752575429184e-06,0.000504873663145425
"ENSG00000157978.14",245.094110276613,-7.51879428378094,2.17787093230994,-3.4523599044532,0.000555705963901311,0.0218429681841724
"ENSG00000117643.17",59.7367664546388,-7.25893680226726,2.17926110694973,-3.33091651070095,0.000865605597793966,0.0304602693865559
"ENSG00000126705.16",133.080430425952,-2.58861431854419,0.790954629614895,-3.27277219403161,0.00106498274347101,0.0357221491802803
"ENSG00000162512.17",69.9936790478929,-6.47897128181479,1.88191105688477,-3.44276168531566,0.000575806481558464,0.0224021036996126
"ENSG00000173660.13",3436.62871847095,-3.36177984815491,0.886204383254023,-3.79345883599775,0.000148563268925795,0.00802232554136862
"ENSG00000203995.11",52.4949620330717,-9.53787815859425,1.80571684750974,-5.28204528398121,1.27749610127843e-07,2.66891685487635e-05
"ENSG00000121310.18",85.9608655178514,-10.2498133763651,1.7779167314878,-5.76506941795175,8.16242374945331e-09,2.95449215278337e-06
"ENSG00000162433.16",227.453273745554,-8.19595801917971,1.26795035412403,-6.4639423716569,1.0200973412991e-10,8.06480491868861e-08
"ENSG00000117155.18",302.591255040539,2.41997073365366,0.76381891665917,3.16825189959716,0.0015335858041478,0.0464061847203534
"ENSG00000097096.11",11.8755810811992,-7.38910151404207,2.26582384246169,-3.26111031915624,0.00110976854301306,0.0369543232521662
"ENSG00000153904.22",74.0826334948458,-5.75279222147685,1.8080170151215,-3.181824160593,0.00146350643437384,0.0449093292366909
"ENSG00000143013.14",661.334607794497,-4.52128747829369,1.1657075455514,-3.87857786075755,0.000105068898896584,0.00607673979772965
"ENSG00000137942.19",52.6258008396373,-6.07598797124695,1.19629653195699,-5.07899823240934,3.79430240591059e-07,6.19093532752256e-05
"ENSG00000116396.15",77.5770577299095,-3.04135447164403,0.958746844420044,-3.1722184947412,0.00151279143289471,0.0458679565468731
"ENSG00000226067.8",19.9435265965907,-4.63156586527581,1.46884343786526,-3.1532059482167,0.00161487832377297,0.0478823513497294
"ENSG00000227082.4",47.2345681604534,4.22942370618113,1.16731547486055,3.62320537786614,0.00029097460022154,0.0136037405112038
"ENSG00000272031.4",148.937223561488,3.11506459518633,0.889753980406446,3.50104035922755,0.000463445653309996,0.0196692832444626
"ENSG00000197747.10",322.959216111764,-3.9732064090665,0.87320471559647,-4.55014309714587,5.36094453293116e-06,0.000504873663145425
"ENSG00000143297.20",807.693150577215,-6.83176300843078,1.29966752054804,-5.25654669399601,1.46785520585021e-07,2.98483463258955e-05
"ENSG00000163518.11",275.19460602565,-11.9275617481344,2.32788253996345,-5.12378160984089,2.9946782483099e-07,5.13166718707577e-05
"ENSG00000307994.1",40.7071757014258,-7.72137308392244,2.06300029566393,-3.74278816156809,0.000181989645954156,0.00934426010420406
"ENSG00000158481.13",45.6886888862898,8.62640747868535,2.6280778087393,3.28240185659627,0.00102926807807485,0.0350387666489275
"ENSG00000163564.15",81.0263770575357,-10.1644287892755,1.77586313087244,-5.72365550732614,1.0425604854015e-08,3.45654129627353e-06
"ENSG00000163568.18",241.090811872419,-8.27962265104845,1.37899489584202,-6.00409956266944,1.92396619213151e-09,9.76244009335261e-07
"ENSG00000117090.17",65.4375772986556,-5.57603389528275,1.30625935149478,-4.26870352269782,1.96612386834674e-05,0.00146987034883118
"ENSG00000162746.15",1938.42894757931,6.37049250298749,1.82146917415563,3.49744733173463,0.0004697334542016,0.0197478630877702
"ENSG00000198821.13",161.795533159566,5.16544791234107,1.44456494096047,3.57578102989724,0.000349183839513928,0.0155259554997869
"ENSG00000162783.11",220.438589470466,-3.17842942237753,0.911139752389591,-3.48841043763227,0.000485901575528367,0.0201371873053889
"ENSG00000135821.20",194.603973399818,-9.98688467659022,2.36926315255464,-4.21518591796016,2.49572503302434e-05,0.00180390059140541
"ENSG00000135824.13",97.1590248058949,9.71505553661936,1.79103074897899,5.42428182327837,5.81880140965404e-08,1.38660219216615e-05
"ENSG00000090104.13",292.40842604856,-6.75779181103237,1.12753116338583,-5.99344127282444,2.05446378610377e-09,9.78550815670926e-07
"ENSG00000287989.1",18.3009020187517,7.30647588766143,2.02630407231291,3.60581414581155,0.000311175794533575,0.0142514776048996
"ENSG00000159173.20",499.015229353096,10.6622318474629,1.8598596028188,5.73281544010272,9.87770982392189e-09,3.41127779151244e-06
"ENSG00000117139.19",150.851533389357,-4.6205506349966,1.44181861523114,-3.20466845564751,0.00135218138269946,0.0422584390728472
"ENSG00000133055.11",377.020593143136,24.3549379900059,4.78484676941771,5.09001419766881,3.58036706218049e-07,6.00045912805656e-05
"ENSG00000058668.17",140.475527162905,-3.77145154981564,1.01460666195729,-3.71715630423724,0.000201477802914821,0.0101337051132877
"ENSG00000163545.11",55.4040302882096,-4.29549337130655,0.956635981962055,-4.49020677906817,7.11540645380085e-06,0.000645934903731648
"ENSG00000293455.2",82.9925770628226,-5.14778498541654,1.64076171634078,-3.13743606652228,0.00170432439190032,0.0492913580710639
"ENSG00000263961.9",41.1576117233907,-9.18890464605594,1.96630509851131,-4.67318355275224,2.96566498174357e-06,0.000316289207248749
"ENSG00000162894.13",1758.60855064095,-14.6035065675662,4.18943015509441,-3.48579783572907,0.0004906716699174,0.0201704410725344
"ENSG00000162896.7",383.739165068499,-25.6426743861529,4.78492625661692,-5.3590532039428,8.36592177028509e-08,1.90430855102415e-05
"ENSG00000154380.20",42.9848461610834,-6.78184778151083,1.7766410606904,-3.81723012687516,0.0001349582798239,0.00746929667264625
"ENSG00000185155.12",40.4741621682146,3.632461584634,1.05953447123199,3.42835621044995,0.000607248118261608,0.0233867198272924
"ENSG00000168264.13",346.038044528258,-3.24064519991518,0.835584679585895,-3.87829657374905,0.000105190433847002,0.00607673979772965
"ENSG00000168243.12",67.7883172215353,-9.90508762800004,2.15835954535232,-4.58917405551316,4.45003263731885e-06,0.000443578089880717
"ENSG00000182901.18",88.5226209362003,22.3376933362667,4.78520774647722,4.66807179953916,3.04039656937355e-06,0.00032200755610775
"ENSG00000286496.2",67.6812378644199,9.19344205065013,2.53888108273376,3.62106051881367,0.000293397867009443,0.013641755570379
"ENSG00000117020.19",132.33902758333,-6.41819437045881,1.40529096309269,-4.56716405286914,4.94367096532096e-06,0.00048022882733828
"ENSG00000162849.16",129.471197261356,4.96307767251373,1.33794413750458,3.70948048830383,0.000207684961048184,0.0103509913102805
"ENSG00000225964.6",24.4048188490628,7.7219850215681,2.04544054716088,3.77521851333514,0.000159867461249029,0.00849884944103095
"ENSG00000134326.12",75.3338483599831,5.87691013644805,1.45507064885822,4.03891738250622,5.36984733062397e-05,0.00338083155483538
"ENSG00000134324.13",1048.21555546276,-4.34110615819104,0.734353782337655,-5.91146428683471,3.39079788118935e-09,1.43647384683386e-06
"ENSG00000115884.12",51.7161371168129,5.48775619309546,1.74744501211957,3.14044571075748,0.00168690970031626,0.048944648200343
"ENSG00000119772.20",156.854277786965,-5.11238054431962,0.854986436699838,-5.97948730514708,2.2384100467957e-09,1.00405857716709e-06
"ENSG00000171303.8",133.058982523752,-24.2336452308535,4.78526598189121,-5.06422115772882,4.10073375037932e-07,6.44745262134381e-05
"ENSG00000221843.6",56.0200988827823,4.40292236961625,1.2884592703521,3.41719949627361,0.000632688986515919,0.0241228493333857
