"GeneID","SRR390728","SRR390729","SRR390730","SRR390731"
"ENSG00000290825.2",0,0,0,0
"ENSG00000223972.6",0,0,0,0
"ENSG00000310526.1",14,5,10,5
"ENSG00000227232.6",0,0,0,0
"ENSG00000278267.1",0,0,0,0
"ENSG00000243485.6",0,0,0,0
"ENSG00000284332.1",0,0,0,0
"ENSG00000237613.3",0,0,0,0
"ENSG00000308361.1",0,0,0,0
"ENSG00000290826.2",0,0,0,0
"ENSG00000268020.3",0,0,0,0
"ENSG00000240361.3",0,0,0,0
"ENSG00000186092.7",0,0,0,0
"ENSG00000241860.8",0,1,0,0
"ENSG00000239945.1",0,0,0,0
"ENSG00000308314.1",0,0,0,0
"ENSG00000233750.3",0,0,0,0
"ENSG00000308579.1",0,0,0,1
"ENSG00000268903.1",0,0,0,0
"ENSG00000269981.1",0,0,0,1
"ENSG00000239906.1",0,0,0,0
"ENSG00000310528.1",0,0,0,0
"ENSG00000222623.1",0,0,0,0
"ENSG00000241599.1",0,0,0,0
"ENSG00000308415.1",0,0,0,0
"ENSG00000310527.1",5,19,14,20
"ENSG00000279928.2",0,0,0,0
"ENSG00000279457.4",0,0,0,0
"ENSG00000273874.1",0,0,0,0
"ENSG00000308625.1",0,0,0,0
"ENSG00000308544.1",0,0,0,0
"ENSG00000292994.2",0,0,0,0
"ENSG00000228463.11",0,0,0,0
"ENSG00000306775.1",0,0,0,0
"ENSG00000286448.2",0,1,0,0
"ENSG00000236679.2",0,0,0,0
"ENSG00000236601.3",0,0,0,0
"ENSG00000290385.2",4,0,0,5
"ENSG00000269732.1",0,0,0,0
"ENSG00000284733.2",0,0,0,0
"ENSG00000237094.13",0,0,0,0
"ENSG00000233653.3",0,0,0,0
"ENSG00000250575.1",0,0,0,0
"ENSG00000278757.1",0,0,0,0
"ENSG00000293331.2",0,1,0,0
"ENSG00000225880.7",82,83,39,57
"ENSG00000235146.3",0,0,0,0
"ENSG00000225972.1",4,11,32,13
"ENSG00000225630.1",474,933,1273,1135
"ENSG00000237973.1",240,139,313,267
"ENSG00000278791.1",0,0,0,0
"ENSG00000229344.1",19,26,66,102
"ENSG00000240409.1",6,2,13,5
"ENSG00000248527.1",2856,3992,2292,2125
"ENSG00000198744.5",27,17,34,15
"ENSG00000268663.1",0,0,0,0
"ENSG00000284662.2",0,0,0,0
"ENSG00000230021.11",0,0,0,0
"ENSG00000229376.3",1,1,2,0
"ENSG00000223181.1",0,0,0,0
"ENSG00000229905.1",0,0,0,0
"ENSG00000228327.6",0,0,0,0
"ENSG00000237491.11",18,15,8,18
"ENSG00000285268.1",0,0,0,0
"ENSG00000230092.8",0,0,0,0
"ENSG00000177757.3",1,1,4,0
"ENSG00000228794.13",87,162,71,37
"ENSG00000297178.1",2,4,2,0
"ENSG00000297224.1",0,0,0,0
"ENSG00000230368.3",0,0,0,0
"ENSG00000234711.1",0,0,0,0
"ENSG00000283040.1",0,0,0,0
"ENSG00000296088.1",0,0,0,0
"ENSG00000272438.2",57,19,21,0
"ENSG00000298603.1",1,0,0,0
"ENSG00000223764.3",11,2,1,0
"ENSG00000187634.14",0,0,2,0
"ENSG00000188976.12",400,627,574,387
"ENSG00000187961.16",90,56,60,46
"ENSG00000187583.12",0,0,2,0
"ENSG00000187642.11",0,0,0,0
"ENSG00000303599.1",0,0,0,0
"ENSG00000272512.1",0,0,0,0
"ENSG00000188290.12",0,0,0,0
"ENSG00000303623.1",0,0,0,0
"ENSG00000187608.11",0,685,96,4
"ENSG00000303614.1",0,0,0,0
"ENSG00000231702.2",0,0,0,0
"ENSG00000224969.1",0,0,0,0
"ENSG00000188157.16",45,101,102,12
"ENSG00000242590.1",0,0,0,0
"ENSG00000291156.2",0,0,2,0
"ENSG00000273443.2",0,0,6,0
"ENSG00000217801.13",1,0,0,0
"ENSG00000304119.1",1,0,0,0
"ENSG00000304169.1",0,0,0,0
"ENSG00000237330.3",0,0,2,0
"ENSG00000131591.19",165,109,101,85
"ENSG00000285812.1",10,4,2,3
"ENSG00000299943.1",0,0,0,0
"ENSG00000223823.1",0,0,0,0
"ENSG00000304965.1",0,0,0,0
"ENSG00000207730.3",0,0,0,0
"ENSG00000207607.3",0,0,0,0
"ENSG00000198976.1",0,0,0,0
"ENSG00000272141.1",0,0,0,0
"ENSG00000205231.1",0,0,0,0
"ENSG00000162571.15",0,0,1,0
"ENSG00000186891.14",0,0,0,0
"ENSG00000186827.12",0,0,4,0
"ENSG00000078808.21",285,340,413,310
"ENSG00000176022.7",78,87,92,28
"ENSG00000184163.3",3,2,1,2
"ENSG00000260179.1",0,0,1,0
"ENSG00000160087.22",156,292,170,215
"ENSG00000230415.2",24,0,1,0
"ENSG00000162572.21",61,10,1,9
"ENSG00000131584.20",640,680,108,201
"ENSG00000278073.1",0,1,0,0
"ENSG00000169972.14",43,55,37,94
"ENSG00000127054.23",649,607,331,516
"ENSG00000283712.1",0,0,0,0
"ENSG00000240731.1",41,41,6,22
"ENSG00000224051.8",115,222,35,89
"ENSG00000169962.5",9,445,3,28
"ENSG00000107404.22",329,327,147,62
"ENSG00000284372.1",0,0,0,0
"ENSG00000304860.1",1,1,0,0
"ENSG00000162576.18",56,23,3,1
"ENSG00000175756.15",177,272,252,136
"ENSG00000223663.2",1,0,1,1
"ENSG00000221978.14",1233,863,338,1173
"ENSG00000224870.10",104,107,78,173
"ENSG00000242485.7",194,296,328,177
"ENSG00000264293.2",0,0,0,0
"ENSG00000301639.1",12,9,3,12
"ENSG00000272455.1",34,29,21,26
"ENSG00000235098.10",4,0,0,0
"ENSG00000225905.2",0,0,0,0
"ENSG00000205116.4",0,0,0,0
"ENSG00000225285.2",0,0,0,0
"ENSG00000179403.13",0,0,1,0
"ENSG00000215915.10",3,9,27,3
"ENSG00000160072.21",107,303,216,200
"ENSG00000290916.2",0,3,0,1
"ENSG00000284740.3",0,0,0,0
"ENSG00000197785.15",102,269,201,248
"ENSG00000205090.10",2,1,0,0
"ENSG00000299413.1",0,0,0,0
"ENSG00000160075.13",419,603,518,565
"ENSG00000215014.5",4,4,0,2
"ENSG00000274481.1",0,0,0,0
"ENSG00000228594.4",0,4,2,0
"ENSG00000286989.2",0,2,0,0
"ENSG00000272106.1",32,16,14,26
"ENSG00000197530.14",215,108,71,119
"ENSG00000189409.15",0,2,0,0
"ENSG00000248333.10",77,219,107,181
"ENSG00000272004.2",0,2,0,0
"ENSG00000189339.13",683,415,193,188
"ENSG00000293187.1",18,28,7,19
"ENSG00000269737.3",6,2,3,1
"ENSG00000310190.1",2,0,0,1
"ENSG00000310238.1",0,0,0,0
"ENSG00000215914.4",0,0,0,0
"ENSG00000008128.24",20,24,22,6
"ENSG00000268575.1",10,14,8,2
"ENSG00000293188.2",233,54,83,52
"ENSG00000290854.2",20,14,10,6
"ENSG00000215790.9",0,0,0,0
"ENSG00000227775.4",0,0,0,0
"ENSG00000008130.16",874,737,359,768
"ENSG00000302550.1",1,0,3,2
"ENSG00000078369.20",3050,3189,1474,2419
"ENSG00000231050.4",6,0,0,4
"ENSG00000303984.1",0,0,0,0
"ENSG00000294910.1",1,4,1,1
"ENSG00000306476.1",0,0,0,0
"ENSG00000169885.10",0,3,0,7
"ENSG00000178821.14",0,0,0,0
"ENSG00000142609.20",2,1,0,0
"ENSG00000233542.3",0,0,0,0
"ENSG00000187730.10",1,0,0,0
"ENSG00000304958.1",0,0,0,0
"ENSG00000226969.2",0,0,0,0
"ENSG00000067606.18",0,3,0,0
"ENSG00000308181.1",0,0,0,0
"ENSG00000271806.1",0,0,0,0
"ENSG00000182873.5",18,0,0,0
"ENSG00000162585.18",153,113,49,77
"ENSG00000304038.1",0,0,0,0
"ENSG00000234396.3",0,0,0,0
"ENSG00000304143.1",0,0,0,0
"ENSG00000157933.12",67,71,382,155
"ENSG00000295493.1",0,0,0,0
"ENSG00000287356.2",1,0,2,0
"ENSG00000116151.15",22,41,27,24
"ENSG00000272161.1",0,0,0,0
"ENSG00000292993.1",6,12,4,6
"ENSG00000269896.3",0,0,0,0
"ENSG00000272420.1",5,0,0,0
"ENSG00000295371.1",0,0,0,0
"ENSG00000157916.21",424,408,412,232
"ENSG00000157911.12",135,94,48,30
"ENSG00000149527.18",5,0,1,0
"ENSG00000224387.1",0,1,0,0
"ENSG00000229393.1",0,0,0,0
"ENSG00000157881.17",145,175,77,75
"ENSG00000197921.6",0,0,0,0
"ENSG00000272449.4",2,0,2,0
"ENSG00000238164.7",0,0,5,0
"ENSG00000307979.1",0,0,0,0
"ENSG00000157873.19",14,20,78,2
"ENSG00000225931.3",0,0,1,0
"ENSG00000307958.1",0,0,1,0
"ENSG00000228037.2",1,0,0,0
"ENSG00000289610.3",0,0,0,0
"ENSG00000157870.18",17,5,23,6
"ENSG00000142606.16",0,0,0,0
"ENSG00000237058.2",1,0,0,0
"ENSG00000215912.13",66,2,0,3
"ENSG00000285945.1",0,0,0,0
"ENSG00000283259.1",0,0,0,0
"ENSG00000233234.1",0,0,0,0
"ENSG00000287396.2",0,0,0,0
"ENSG00000231630.1",0,0,0,0
"ENSG00000302855.1",0,0,0,0
"ENSG00000295089.1",0,0,0,0
"ENSG00000300015.1",0,0,0,0
"ENSG00000284745.2",0,0,0,0
"ENSG00000169717.7",0,0,0,0
"ENSG00000177133.15",0,0,0,0
"ENSG00000142611.17",0,0,0,0
"ENSG00000283572.1",0,0,0,0
"ENSG00000226286.1",0,0,0,0
"ENSG00000306427.1",0,0,0,0
"ENSG00000279839.1",0,0,0,0
"ENSG00000306439.1",0,0,0,0
"ENSG00000272235.1",0,0,0,0
"ENSG00000287828.2",0,0,0,0
"ENSG00000286518.1",0,0,0,0
"ENSG00000295754.1",0,0,0,0
"ENSG00000297626.1",0,0,0,0
"ENSG00000130762.16",0,0,0,0
"ENSG00000272088.1",0,0,0,0
"ENSG00000162591.18",7,0,0,0
"ENSG00000207776.1",0,0,0,0
"ENSG00000309127.1",0,0,0,0
"ENSG00000238260.4",12,4,0,0
"ENSG00000158109.16",112,140,81,33
"ENSG00000116213.17",266,201,235,112
"ENSG00000078900.17",23,44,141,41
"ENSG00000227589.1",3,4,8,0
"ENSG00000235131.1",0,0,0,0
"ENSG00000293478.2",285,0,62,44
"ENSG00000276189.1",0,0,0,0
"ENSG00000227372.13",0,0,0,0
