"","x"
"1","364"
"2","76"
"3","262"
"4","206"
"5","348"
"6","363"
"7","502"
"8","320"
"9","102"
"10","110"
"11","113"
"12","258"
"13","106"
"14","151"
"15","307"
"16","514"
"17","221"
"18","141"
"19","11"
"20","333"
"21","402"
"22","318"
"23","124"
"24","82"
"25","278"
"26","411"
"27","300"
"28","179"
"29","66"
"30","27"
"31","412"
"32","34"
"33","257"
"34","57"
"35","164"
"36","55"
"37","121"
"38","128"
"39","101"
"40","219"
"41","10"
"42","426"
"43","436"
"44","36"
"45","371"
"46","26"
"47","267"
"48","379"
"49","383"
"50","321"
